CENSUS_YEAR;WARD;DWELLING_TYPE;DWELLING_TYPE_CODE;DWELLING_TYPE_DESCRIPTION;DWELLING_CNT;RESIDENT_CNT;OCPD_DWELLING_CNT;VACANT_DWELLING_CNT;OCPD_OWNERSHIP_CNT;RENOVATION_DWELLING_CNT;UNDER_CONST_DWELLING_CNT;INACTIVE_CNT;OTHER_PURPOSE_CNT
01/01/2019 12:00:00 AM;1;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;5;655;5;0;0;0;0;0;0
01/01/2019 12:00:00 AM;1;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;14;60;12;2;0;0;0;0;0
01/01/2019 12:00:00 AM;1;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;10;96;8;2;0;0;0;0;0
01/01/2019 12:00:00 AM;2;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;22,689;71,872;22,080;303;19,767;30;243;1;32
01/01/2019 12:00:00 AM;2;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;1,153;2,806;1,095;19;931;1;30;0;8
01/01/2019 12:00:00 AM;2;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;97;186;89;8;71;0;0;0;0
01/01/2019 12:00:00 AM;2;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;3,246;5,123;2,898;339;1,485;4;3;0;2
01/01/2019 12:00:00 AM;2;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,520;9,745;4,159;158;2,856;3;195;0;5
01/01/2019 12:00:00 AM;2;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;310;458;298;12;293;0;0;0;0
01/01/2019 12:00:00 AM;2;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;221;326;171;43;24;1;0;5;1
01/01/2019 12:00:00 AM;2;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;6;692;6;0;0;0;0;0;0
01/01/2019 12:00:00 AM;2;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;4;907;3;0;0;0;0;0;1
01/01/2019 12:00:00 AM;2;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;1;0;0;1;0;0;0;0;0
01/01/2019 12:00:00 AM;3;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;17,906;57,603;17,295;237;14,930;18;340;4;12
01/01/2019 12:00:00 AM;3;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;1,301;2,991;1,140;40;836;0;117;0;4
01/01/2019 12:00:00 AM;3;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;95;180;90;5;31;0;0;0;0
01/01/2019 12:00:00 AM;3;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;2,557;4,253;2,407;141;1,424;2;3;1;3
01/01/2019 12:00:00 AM;3;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;2,343;4,999;2,097;119;1,283;2;124;0;1
01/01/2019 12:00:00 AM;3;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;1;0;0;0;0;0;0;0;1
01/01/2019 12:00:00 AM;3;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;273;518;225;39;57;0;0;9;0
01/01/2019 12:00:00 AM;3;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;3;280;3;0;0;0;0;0;0
01/01/2019 12:00:00 AM;4;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;24,741;65,669;24,032;483;20,149;121;62;16;27
01/01/2019 12:00:00 AM;4;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;3,741;9,191;3,523;166;1,724;21;12;3;16
01/01/2019 12:00:00 AM;4;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;186;265;164;14;11;8;0;0;0
01/01/2019 12:00:00 AM;4;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;4,359;6,458;4,075;252;737;17;1;4;10
01/01/2019 12:00:00 AM;4;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;5,235;12,470;4,925;278;1,994;15;4;5;8
01/01/2019 12:00:00 AM;4;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;126;205;119;4;105;2;0;1;0
01/01/2019 12:00:00 AM;4;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;1,954;2,478;1,424;384;85;12;6;114;14
01/01/2019 12:00:00 AM;4;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;3;3;2;0;1;0;0;0;1
01/01/2019 12:00:00 AM;4;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;6;9;6;0;0;0;0;0;0
01/01/2019 12:00:00 AM;4;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;2;313;2;0;0;0;0;0;0
01/01/2019 12:00:00 AM;4;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;3;50;1;0;0;0;0;0;2
01/01/2019 12:00:00 AM;5;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;18,005;67,440;16,978;391;13,401;37;482;107;10
01/01/2019 12:00:00 AM;5;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,151;6,515;1,893;50;1,335;2;206;0;0
01/01/2019 12:00:00 AM;5;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;90;223;82;6;75;1;1;0;0
01/01/2019 12:00:00 AM;5;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;3,626;7,087;3,016;221;1,203;1;377;2;9
01/01/2019 12:00:00 AM;5;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;2,949;7,492;2,453;198;1,781;3;289;1;5
01/01/2019 12:00:00 AM;5;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;3;10;3;0;1;0;0;0;0
01/01/2019 12:00:00 AM;5;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,801;6,357;2,181;418;565;9;1;190;2
01/01/2019 12:00:00 AM;5;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;2;4;2;0;0;0;0;0;0
01/01/2019 12:00:00 AM;5;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;1;4;1;0;1;0;0;0;0
01/01/2019 12:00:00 AM;8;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;3,771;8,853;3,412;213;2,297;16;113;2;15
01/01/2019 12:00:00 AM;5;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;3;585;2;0;0;0;1;0;0
01/01/2019 12:00:00 AM;5;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;14;0;0;14;0;0;0;0;0
01/01/2019 12:00:00 AM;6;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;21,215;65,191;20,681;312;19,034;69;129;14;10
01/01/2019 12:00:00 AM;6;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,455;5,350;2,363;69;1,770;5;16;1;1
01/01/2019 12:00:00 AM;6;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;86;217;75;5;29;0;5;0;1
01/01/2019 12:00:00 AM;6;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;5,744;8,416;5,136;357;2,335;14;217;7;13
01/01/2019 12:00:00 AM;6;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;5,164;10,634;4,897;192;3,292;14;48;7;6
01/01/2019 12:00:00 AM;6;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;1;0;0;1;0;0;0;0;0
01/01/2019 12:00:00 AM;6;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;331;564;285;41;27;1;0;2;2
01/01/2019 12:00:00 AM;6;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;4;5;2;0;2;0;0;1;1
01/01/2019 12:00:00 AM;6;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;8;653;8;0;0;0;0;0;0
01/01/2019 12:00:00 AM;6;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;5;189;5;0;0;0;0;0;0
01/01/2019 12:00:00 AM;7;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;12,768;29,461;11,902;520;8,371;99;161;17;69
01/01/2019 12:00:00 AM;7;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;4,330;10,562;3,979;183;2,653;13;142;2;11
01/01/2019 12:00:00 AM;7;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;308;434;258;29;57;1;18;0;2
01/01/2019 12:00:00 AM;7;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;16,474;22,102;14,539;1,224;3,493;48;314;52;297
01/01/2019 12:00:00 AM;7;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;2,625;5,045;2,315;178;1,223;25;94;3;10
01/01/2019 12:00:00 AM;7;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,627;3,486;2,073;381;118;26;9;113;25
01/01/2019 12:00:00 AM;7;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;18;30;10;0;1;7;0;1;0
01/01/2019 12:00:00 AM;7;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;35;35;31;2;4;0;1;0;1
01/01/2019 12:00:00 AM;7;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;12;18;10;0;2;0;1;0;1
01/01/2019 12:00:00 AM;7;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;11;1,643;11;0;0;0;0;0;0
01/01/2019 12:00:00 AM;7;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;5;113;2;2;0;0;0;0;1
01/01/2019 12:00:00 AM;7;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;42;4,351;17;25;0;0;0;0;0
01/01/2019 12:00:00 AM;8;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;9,864;23,687;9,158;403;7,003;78;151;8;66
01/01/2019 12:00:00 AM;8;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;354;485;287;35;79;0;30;1;1
01/01/2019 12:00:00 AM;8;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;33,071;46,714;29,960;2,081;6,474;99;542;42;347
01/01/2019 12:00:00 AM;8;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,171;8,485;3,874;182;1,888;10;84;2;19
01/01/2019 12:00:00 AM;8;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;1,872;2,441;1,461;280;105;23;7;69;32
01/01/2019 12:00:00 AM;8;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;4;5;4;0;0;0;0;0;0
01/01/2019 12:00:00 AM;8;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;63;58;49;2;2;1;1;2;8
01/01/2019 12:00:00 AM;8;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;66;76;45;15;13;0;1;0;5
01/01/2019 12:00:00 AM;8;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;8;1,074;8;0;0;0;0;0;0
01/01/2019 12:00:00 AM;8;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;2;28;1;1;0;0;0;0;0
01/01/2019 12:00:00 AM;8;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;23;1,093;12;11;0;0;0;0;0
01/01/2019 12:00:00 AM;9;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;18,105;46,647;17,458;405;12,860;110;63;20;49
01/01/2019 12:00:00 AM;9;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;3,713;9,993;3,516;139;1,653;20;30;5;3
01/01/2019 12:00:00 AM;9;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;150;264;133;8;33;0;9;0;0
01/01/2019 12:00:00 AM;9;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;9,317;13,799;8,462;546;2,184;20;265;3;21
01/01/2019 12:00:00 AM;9;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;5,027;12,413;4,741;198;2,102;19;28;29;12
01/01/2019 12:00:00 AM;9;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;966;1,782;890;64;784;4;1;0;7
01/01/2019 12:00:00 AM;9;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;3,715;5,026;2,888;592;165;43;5;161;26
01/01/2019 12:00:00 AM;9;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;3;19;3;0;0;0;0;0;0
01/01/2019 12:00:00 AM;9;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;63;61;34;4;5;1;0;1;23
01/01/2019 12:00:00 AM;9;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;16;24;13;0;3;1;1;0;1
01/01/2019 12:00:00 AM;9;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;9;998;9;0;0;0;0;0;0
01/01/2019 12:00:00 AM;9;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;3;32;2;1;0;0;0;0;0
01/01/2019 12:00:00 AM;9;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;15;637;8;7;0;0;0;0;0
01/01/2019 12:00:00 AM;10;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;20,098;63,926;19,625;350;15,780;90;8;6;19
01/01/2019 12:00:00 AM;10;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,905;8,075;2,767;118;1,710;19;1;0;0
01/01/2019 12:00:00 AM;10;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;24;63;24;0;4;0;0;0;0
01/01/2019 12:00:00 AM;10;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;2,207;4,035;2,108;90;483;5;0;1;3
01/01/2019 12:00:00 AM;10;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,177;11,860;3,968;184;1,707;14;1;3;7
01/01/2019 12:00:00 AM;10;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;302;497;285;15;279;2;0;0;0
01/01/2019 12:00:00 AM;10;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;2,648;4,114;1,890;505;172;18;1;222;12
01/01/2019 12:00:00 AM;10;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;2;9;2;0;1;0;0;0;0
01/01/2019 12:00:00 AM;10;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;1;4;1;0;0;0;0;0;0
01/01/2019 12:00:00 AM;10;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;5;4;2;1;0;1;0;0;1
01/01/2019 12:00:00 AM;10;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;2;282;2;0;0;0;0;0;0
01/01/2019 12:00:00 AM;10;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;9;1;0;0;0;0;0;0
01/01/2019 12:00:00 AM;10;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;20;23;3;17;0;0;0;0;0
01/01/2019 12:00:00 AM;11;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;21,167;53,159;20,437;455;17,982;152;76;28;19
01/01/2019 12:00:00 AM;11;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,494;5,666;2,349;113;1,348;16;11;2;3
01/01/2019 12:00:00 AM;11;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;277;544;257;18;19;2;0;0;0
01/01/2019 12:00:00 AM;11;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;19,793;28,159;18,067;1,361;4,454;92;21;17;235
01/01/2019 12:00:00 AM;11;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;4,399;9,303;4,199;168;2,461;12;12;4;4
01/01/2019 12:00:00 AM;11;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;94;59;37;2;35;0;0;54;1
01/01/2019 12:00:00 AM;11;CONVERTED STRUCTURE;7;The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.;826;1,137;635;114;40;8;1;40;28
01/01/2019 12:00:00 AM;11;COMMUNAL HOUSING;8;A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.;6;48;5;1;0;0;0;0;0
01/01/2019 12:00:00 AM;11;RESIDENCE IN COMMERCIAL STRUCTURE;9;A structure that is primarily commercial but which also contains one or two dwelling units.;17;7;3;4;2;0;0;0;10
01/01/2019 12:00:00 AM;11;OTHER - RESIDENTIAL;10;Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.;8;20;7;1;3;0;0;0;0
01/01/2019 12:00:00 AM;11;NURSING HOME, AUXILLARY HOSPITAL LODGE;11;A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.;11;1,233;10;1;0;0;0;0;0
01/01/2019 12:00:00 AM;11;OTHER - INSTITUTIONS;12;A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.;1;39;1;0;0;0;0;0;0
01/01/2019 12:00:00 AM;11;HOTELS, MOTELS  RESIDENCE;13;A structure that provides lodging.;20;629;11;8;0;0;0;0;1
01/01/2019 12:00:00 AM;12;SINGLE FAMILY HOME;1;A structure originally designed and built to contain a single dwelling unit.;26,627;83,182;25,918;298;23,257;23;329;3;56
01/01/2019 12:00:00 AM;12;DUPLEX;2;A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.;2,341;5,675;2,237;57;1,764;1;40;1;5
01/01/2019 12:00:00 AM;12;MULTI-PLEX;3;A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.;3;1;1;0;0;0;2;0;0
01/01/2019 12:00:00 AM;12;APARTMENT;4;A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.;6,311;9,537;5,458;294;2,869;9;517;2;31
01/01/2019 12:00:00 AM;12;TOWN HOUSE;5;A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.;5,196;10,390;4,869;154;3,431;5;152;0;16
01/01/2019 12:00:00 AM;12;MANUFACTURED HOME;6;A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.;151;257;140;9;126;0;0;0;2
